,Question,Answer,Please give an example of your experience in understanding and framing the problem to be solved in Discovery.,Outcome,Date,Dept,Bid,Winner,Applications,Score notes,Other notes
98, Knowledge of accessibility requirements in relation to digital publishing," We have passed over 10 government service assessments, all of which complied with accessibility requirements for digital publishing. For the UK Visas and Immigration complaints service, we made content accessible for assisted digital users and users who don’t have English as a first language by:
*keeping content clear and short
*using descriptive, unique page titles
*making link text meaningful
*testing content with real users
Where relevant we also: 
*write suitable text alternatives for images
*create transcripts and captions for multimedia
*produce accessibility statements 
In the last year we have produced accessible content that meets user needs for 4 government services.",2+,2nd stage,03/11/2020,UKAEA,User experience and copywriting for UKAEA careers website,CTI digital,12,"We got shortlisted, lost at second stage",
99, Understanding of the wider digital environment and current best practice," Marvell Consulting is a multidisciplinary team with a combined experience of more than 20 years of digital product and software development. 
Our experienced researchers, designers, developers and agile specialists have helped to deliver more than 15 government transformation projects and exemplar services and participated in more than 10 successful service assessments from alpha to live. 
We are all members of our respective government digital communities with extensive knowledge of government standards, patterns and best practice. In addition, several members of our team formerly worked at Government Digital Service and are trained service assessors.",2+,2nd stage,03/11/2020,UKAEA,User experience and copywriting for UKAEA careers website,CTI digital,12,"We got shortlisted, lost at second stage",
100, Project management skills and experience," We have over 10 years’ experience managing projects of varied scope and size using GDS-recommended service development and agile approaches.
We tailor our approach depending on the project, but would generally look to plan work, track and communicate progress on a weekly or fortnightly basis. For larger projects we also manage a long-term roadmap to track how individual pieces of work are meeting broader end-goals. 
This approach has allowed us to manage and deliver high quality outputs for 11 projects concurrently in the last year, all of them on time and within budget. ",2+,2nd stage,03/11/2020,UKAEA,User experience and copywriting for UKAEA careers website,CTI digital,12,"We got shortlisted, lost at second stage",
101, Experience of paired/collaborative writing," Our lead content designer has experience pair writing across a range of contexts and subject matters. For the HFEA’s new website much of the content was pair written with subject matter experts. She also coordinated 14 senior scientists to develop controversial new content that was later positively featured in the press. 
Most recently for the animals in science licensing project, she pair wrote over 100 technical standards for inspectors assessing applications. The new standards, which have been edited to be shorter and clearer, have been very well received by the inspectorate and will now be made available to applicants.",2+,2nd stage,03/11/2020,UKAEA,User experience and copywriting for UKAEA careers website,CTI digital,12,"We got shortlisted, lost at second stage",
102," Ability to quickly understand UKAEA's business, culture and operating environment"," For the animals in science licensing project we had to quickly get to grips with a new sector. This included understanding complex subject matter, legacy technology, ways of working and a culture where change tends to evolve slowly - a luxury we didn’t have given our strict deadline.
We immersed ourselves in this unique environment from the outset. We held workshops with staff, read policy, explored the existing code base and accommodated cultural differences wherever possible, working as one team. As a result we delivered the new service on time and won a second 2 year contract to develop it further.",2+,2nd stage,03/11/2020,UKAEA,User experience and copywriting for UKAEA careers website,CTI digital,12,"We got shortlisted, lost at second stage",
103, Experience of working collaboratively with web design teams," Every project Marvell Consulting delivers involves collaboration with designers and developers. For the animals in science licensing service, interaction and content designers collaborated to explore how content and visual design could create the most intuitive user experience in a complicated area.
Early designs were mocked up with realistic content to ensure they were workable and then refined following research. The result is a service that users regularly praise for its simplicity and clarity. For the HFEA website, our content designer was part of the web design team to reflect the interdependence of visual and content design in the website’s development.",2+,2nd stage,03/11/2020,UKAEA,User experience and copywriting for UKAEA careers website,CTI digital,12,"We got shortlisted, lost at second stage",
104, Have recent experience of launching services on GOV.UK and have an understanding of GOV.UK and Digital Service Standards,"
In 2017 we were contracted to replace an animals in science licensing service that met just 3 of the 18 government service standard points. Over 2 years we built the service in line with the government service manual, design system and technology code of practice. In 2019 the service passed its public beta assessment, meeting all 14 revised service standard points. It’s now a GDS exemplar. 
In the last 6 months we have also researched, designed, built and launched 3 other improved services on GOV.UK: 
*report online terrorist materials
*report modern slavery
*complain to UK Visas and Immigration",2.2,Lost,05/11/2020,BEIS,Shared Parental Leave and Pay Tool Public Beta Support,Solirius Consulting,6,We scored 74 out of 100. The winning supplier scored 86.,
105, Have recent experience of using an analytics framework to maintain and develop a service on GOV.UK," 
In 2020 we redesigned a service for users to complain about UK Visas and Immigration that went live worldwide within 6 months. 
We analysed:
* data from Google Analytics (search terms, drop off points, conversion rates)
* survey data 
* complaints data 
* online user feedback logs 
Our analysis found a problem whereby in 50% of cases the service was being used for general enquiries rather than complaints. To meet this need, we designed a prototype which signposted users to helpful guidance on GOV.UK before continuing their complaint. 
The improved service went live on time and user satisfaction increased from 31% to 63%.",2.2,Lost,05/11/2020,BEIS,Shared Parental Leave and Pay Tool Public Beta Support,Solirius Consulting,6,We scored 74 out of 100. The winning supplier scored 86.,
106, Have recent experience of working with Government and collaborating with GDS  ,"
We have substantial recent government experience. In 2020 we designed, built, delivered or maintained a total of 11 government services. We also have a close relationship with GDS with three of our team, including Marvell Consulting’s CEO, having previously worked for them. 
We redesigned a GOV.UK service to report online terrorist materials. This involved close collaboration with government colleagues including:
*government counter-terrorism experts
*government lawyers
*GDS content designers
The completed service and start page were signed off by all stakeholders within weeks. It provides greater functionality and better usability and has been warmly commended by the client.",2.2,Lost,05/11/2020,BEIS,Shared Parental Leave and Pay Tool Public Beta Support,Solirius Consulting,6,We scored 74 out of 100. The winning supplier scored 86.,
107, Have the expertise and experience to analyse and improve the user experience of a tool in use on GOV.UK," In 2020 we created a tool for a GOV.UK service: Report Modern Slavery as a First Responder. 
We first: 
*analysed data from surveys and support queries 
*reviewed existing research  
*held research sessions with first responders 
A key need for time poor users was to be able to save reports and return to them later. We prototyped a secure tool and tested it remotely during COVID-19. 
Less than 6 months later the tool is live with 44 reports saved in the last 7 days alone. The Home Office has praised its timely delivery, reliability and ease of use.",2.2,Lost,05/11/2020,BEIS,Shared Parental Leave and Pay Tool Public Beta Support,Solirius Consulting,6,We scored 74 out of 100. The winning supplier scored 86.,
108," Have experience and expertise in front and back end development, using NodeJS or similar"," We have recently developed or currently manage 11 NodeJS services across government. The services we have built in NodeJS include:
*report online terrorist materials 
*complain to UK Visas and Immigration
*animal science licensing
*report modern slavery 
Our engineers all have a minimum of 7 years full stack (front and backend) NodeJS experience. We use front end technologies such as React to develop accessible GOV.UK services and our engineers are active contributors to the open source community.
We also employ the 12 factor app methodology to all our projects to ensure delivery of robust, scalable services.",2.2,Lost,05/11/2020,BEIS,Shared Parental Leave and Pay Tool Public Beta Support,Solirius Consulting,6,We scored 74 out of 100. The winning supplier scored 86.,
109, Have experience of working with family-related leave and pay policy or similar complex human resource policy," Our lead user researcher led a discovery into family law digital reform for Her Majesty’s Courts and Tribunals Service. The discovery explored users’ needs for securing financial settlements during a divorce. 
Research sessions were held with 30 users, including:
*people going through the divorce process, including vulnerable users from economically deprived areas 
*Citizens Advice Bureau 
*solicitors 
*the judiciary
Quantitative data from court cases and socioeconomic data were also analysed. 
The discovery identified an opportunity for a service to guide users through their options for dividing assets, by using mediation for example, to help avoid costly court cases and legal fees.",2.2,Lost,05/11/2020,BEIS,Shared Parental Leave and Pay Tool Public Beta Support,Solirius Consulting,6,We scored 74 out of 100. The winning supplier scored 86.,
110, Have knowledge and experience of working in an agile environment," For the animals in science licensing service, we have used an agile approach to scope, prioritise and deliver work since the project started in 2017. 
We hold:
*daily stand up meetings with the delivery team to review work in progress and rapidly raise blockers
*bi-weekly sprint plannings to agree team goals for the next two weeks 
*show and tells where we run through research findings, design prototypes and working software
*retrospectives to identify opportunities to improve
As a result the service went live on time and we are able to release new functionality on a frequent, often daily, basis.﻿",2.2,Lost,05/11/2020,BEIS,Shared Parental Leave and Pay Tool Public Beta Support,Solirius Consulting,6,We scored 74 out of 100. The winning supplier scored 86.,
111," Demonstrate experience of working with teams, particularly those with no/limited experience of Agile, Alpha and iterative development and how you overcame this."," In 2017 we were contracted to build an alpha through to public beta for the Animals in Science Regulation Unit (ASRU), a team with no experience of agile development. We overcame this by:
* inviting all staff to an ‘agile development Q&A’ 
* upskilling the service manager with agile coaching 
* inviting staff to fortnightly showcases of work
* emailing staff weekly progress reports
Consequently we’ve seen engagement grow, with attendance at show and tells rising from 20 to 50 participants and weekly report subscriptions rising from 15 to 51. ASRU’s service manager commented: “Your approach to engagement has been exemplary.”",2+,2nd stage,04/12/2020,UKSA,Space Surveillance and Tracking  Alpha,The PSC,14,We got shortlisted,
112, Demonstrate experience of applying the principles of user-centred design to the development of digital services for a range of users.," User-centred design is central to our approach to building services. For the Animals in Science Licensing service we have a diverse group of users including Home Office inspectors, policymakers and external scientists at all levels. To design a system that worked for everyone we:
* carried out research with all user groups, including users with access needs and low digital skills 
* designed, tested and iterated prototypes following feedback
* adhered to GOV.UK’s design system, style guide and other design best practices
The result is a service that meets all our users’ needs and has been praised by senior Home Office leaders.",2+,2nd stage,04/12/2020,UKSA,Space Surveillance and Tracking  Alpha,The PSC,14,We got shortlisted,
113," Demonstrate experience in designing systems that have been/are to be used to support secure data exchange, link records between systems and provide email security."," We were engaged by the Report Modern Slavery team to securely and reliably transfer data from an online form to a back office case-working system supported by a third party. Problems with the caseworking system being down meant these vital reports weren’t always getting through to caseworkers.
We designed and implemented a service based on SQS to transfer encrypted report data in such a way that all reports resolved into the case-working system and would be unaffected by outages or downtime in the back end.
Now service owners have complete confidence that 100% of reports are being delivered to caseworkers.",2+,2nd stage,04/12/2020,UKSA,Space Surveillance and Tracking  Alpha,The PSC,14,We got shortlisted,
114, Demonstrate experience of designing services that have been successfully used to present complex numeric and graphical information with simplicity. ," Our team helped to design GOV.UK’s Performance Platform, a tool which presents statistics on how government services are performing across a set of centralised metrics. 
This involved combining complex datasets from a range of sources - including online and offline service data - and clearly communicating the numbers in accessible formats. The result is a simple visual representation of figures that users can easily interact with to view and compare services.
The tool has been used to publish over 750 dashboards of previously unavailable service data, increasing transparency and accountability in government. It has also been positively featured in the press. ",2+,2nd stage,04/12/2020,UKSA,Space Surveillance and Tracking  Alpha,The PSC,14,We got shortlisted,
115, Demonstrate experience of delivering loosely coupled services with the potential for reuse.," We are strong believers in identifying and building reusable solutions for common problems. As part of our team’s work on the Passport Renewal Service we identified a common need across government for tooling to build form-based services.
From this we developed Home Office Forms, a reusable, open-source development framework which has since been used in a large number of services across the Home Office and wider government and is still in use today.
The ability to rapidly redevelop a number of existing services has saved the Home Office over £250,000 per annum in licence fees for proprietary software.",2+,2nd stage,04/12/2020,UKSA,Space Surveillance and Tracking  Alpha,The PSC,14,We got shortlisted,
116, Demonstrate experience of defining KPI’s that can be used to measure the benefits and success of new services.," We are driven by an ethos of delivering and evidencing strong outcomes. For the Animals in Science Licensing Service we defined measurable KPIs with the Home Office before the build started. Tracking these KPIs demonstrated the following benefits:
* 6,600 hours saved processing project licence applications
* a 30% decrease in time required to answer parliamentary and FOI requests
* a rise in the percentage of users satisfied with the online service from 47% in 2018 to 78% in 2020, including a rise in those very satisfied from 5% to 33%
The service is now a GDS exemplar for digital transformations. ",2+,2nd stage,04/12/2020,UKSA,Space Surveillance and Tracking  Alpha,The PSC,14,We got shortlisted,
117, Demonstrate experience of building on a discovery delivered by another organisation.," We were contracted to rebuild a licensing system following a detailed discovery of the service’s limitations and user needs by another organisation. The problems identified were numerous, ranging from security risks to confusing interfaces, tie-ins with costly third party suppliers and reliance on manual data processing. 
We used these findings to form the basis of an Alpha, building on the initial findings with stakeholder workshops, user research and further technical explorations. As a result all the problems from the discovery have been addressed and the service passed its Alpha assessment (and all subsequent assessments) first time. ",2+,2nd stage,04/12/2020,UKSA,Space Surveillance and Tracking  Alpha,The PSC,14,We got shortlisted,
118, Demonstrate experience of working with scientific subject matter experts (SMEs).," Since 2017 we’ve worked with over 100 experts to develop the Animals in Science Licensing system. We’ve consulted with:
* Home Office inspectors and policymakers 
* commercial and academic scientists 
* internationally renowned experts in the biosciences industry 
For example we pair-wrote a lengthy technical application form with SMEs, creating a simplified online form that has reduced the number of iterations required from 4 to 2.5. Feedback from industry experts is positive. The chair of a committee representing research establishments commented: “The new system is so much better….We’re happy to pay even more fees to keep up this level of improvement!” ",2+,2nd stage,04/12/2020,UKSA,Space Surveillance and Tracking  Alpha,The PSC,14,We got shortlisted,
119," Detail your team’s experience of working to the GDS Service Standard, including Service Design Manual, Technology Code of Practice and wider industry standards or equivalent."," Marvell Consulting know the GDS Service Standard extremely well. So far we’ve passed 15 GDS assessments including 7 alphas, 4 betas and 2 live assessments. 
For the Biometric Residence Permit Enquiries service, we were the first HO team to pass a live assessment and the second government team ever to pass a live GDS assessment.
Our CEO, lead technical architect and lead designer all worked at GDS on flagship services including the Service Manual and GOV.UK Verify. Our lead user researcher, lead designer and lead content designer are trained Service Standard assessors who have assessed over 15 government services.",2+,2nd stage,04/12/2020,UKSA,Space Surveillance and Tracking  Alpha,The PSC,14,We got shortlisted,
120, Demonstrate experience of working on solutions for space surveillance or orbital dynamics. , We have no direct experience of delivering solutions in these areas. However our team does have experience delivering services in comparable technical and scientific areas. In addition a number of our team members have academic backgrounds in STEM subjects.,2+,2nd stage,04/12/2020,UKSA,Space Surveillance and Tracking  Alpha,The PSC,14,We got shortlisted,
121, Demonstrate expertise in being able to quickly understand the market in which we work and the key users.," From our initial research we know that within the next 10 years projected collision probabilities are set to increase as satellites and debris in Earth’s orbit continue to rise. This is likely to increase the need for SST products and services and for timely, accurate and clear communications to their users.
To further understand this complex area we would:
* mobilise a highly skilled team with experience working in scientific government-regulated domains 
* study collateral including the discovery findings and relevant research and publications
* work with the UK Space Agency to identify satellite operators and government stakeholders to recruit for testing ",2+,2nd stage,04/12/2020,UKSA,Space Surveillance and Tracking  Alpha,The PSC,14,We got shortlisted,
122, Example of experience(s) within a highly regulated industry and technical science field of delivering the expected outcomes for a similar Alpha phase.," The use of animals in scientific research is extensively regulated under UK law. We worked with the Home Office regulator to replace their underperforming licensing system with a new service, engaging with research establishments and animal science inspectors across the country throughout the Alpha phase.
The Alpha phase  was delivered on time and budget in 2018. It met all 14 of the Service Standard points and the resulting live service is exceeding expected outcomes for the regulator and industry. A survey of the service’s users show confidence in the regulator has increased from 73% in 2018 to 87% in 2020.",2+,2nd stage,04/12/2020,UKSA,Space Surveillance and Tracking  Alpha,The PSC,14,We got shortlisted,
123,"Proven experience of planning and carrying out remote user research using multiple techniques including interviews and structured conversations, and collaborative analysis and synthesis workshops.","Since January 2018 our researchers have planned and carried out over 500 sessions with academic researchers and other users of the Animals in Science Licensing (ASL) service. This includes structured and semi-structured interviews, walkthroughs and observations, journey mapping workshops, usability testing and collaborative analysis.
 
Due to Covid-19, 80 sessions had to be conducted remotely. We achieved this by:
holding all interviews and research sessions online or by phone
using varied conferencing facilities to accommodate users’ different operating systems and comfort levels
using online whiteboard tools for analysis activities and workshops 
As a result development of the service has continued uninterrupted.",2+,2nd round,03/02/2021,Uni of Sheffield,2814/MH - Secure Data Hub - User Journey Mapping,Paper,58,We got shortlisted,
124,"Proven experience of mapping existing user journeys, identifying gaps and pain points, suggesting and prioritising remedies.","For the ASL service we had to map a complex area covering the regulator, scientific researchers, university committees and stakeholders from the Home Office and third sector.

We conducted interviews and workshops with these groups to develop existing and to-be user journey maps. We defined desired outcomes, mapped user needs, and identified activities, pain points and opportunities for improvement across the licensing process. 

This shared understanding of the problem space enabled us to prioritise solutions that would deliver maximum value to users in the short term, whilst capturing less urgent needs to be met in the longer term. ",2+,2nd round,03/02/2021,Uni of Sheffield,2814/MH - Secure Data Hub - User Journey Mapping,Paper,58,We got shortlisted,
125,Proven ability to articulate the importance and impact of research findings to stakeholders with little/no experience of user-centred approaches.,"We developed the ASL service for a wide range of internal and external stakeholders with no experience of user-centred approaches and some scepticism. We tackled this by:
involving key stakeholders in research to get their input
consulting subject matter experts to ensure outputs were user-centred and accurate
presenting findings and rationale at show and tells
inviting different points of view and addressing them, or explaining why they couldn’t be addressed
Three years on there’s a consensus about the value of this approach. At a recent meeting of 100 academic stakeholders, the Chair said it had been a “very productive” process.",2+,2nd round,03/02/2021,Uni of Sheffield,2814/MH - Secure Data Hub - User Journey Mapping,Paper,58,We got shortlisted,
126,Experience of transfer of skills and knowledge to in-house team members.,"For the ASL service we transferred skills and knowledge to in-house colleagues by:
 
taking senior staff to onsite visits to observe work in practice
inviting colleagues to observe research sessions and participate in debriefs 
holding fortnightly show & tells to share research findings
training the service manager to present the service at 4 successful GDS service assessments
sharing free GDS courses for staff wanting to improve their digital skills
sharing research and design patterns with in-house digital communities
We were recently asked by HO’s senior digital leadership team to produce an exemplar case study other teams can learn from. ",2+,2nd round,03/02/2021,Uni of Sheffield,2814/MH - Secure Data Hub - User Journey Mapping,Paper,58,We got shortlisted,
127,Knowledge and understanding of the use of sensitive data in research,"We’ve researched multiple Home Office services that involve collecting and storing sensitive data in line with HO and GDPR requirements.
 
For the ASL service, we carry out research in commercially sensitive areas that require careful data handling to protect users’ intellectual property, and identities due to the risks posed by people opposed to animal science. 
 
Building on this knowledge, we’ve created a service that can securely store users’ sensitive data whilst still allowing authorised people to access it. 
 
All our researchers are accredited by the Market Research Society and follow GDPR compliant ways of working. ",2+,2nd round,03/02/2021,Uni of Sheffield,2814/MH - Secure Data Hub - User Journey Mapping,Paper,58,We got shortlisted,
128,Experience of working in an academic research environment.,"The primary audience for the ASL service is people carrying out research programmes at universities who need licences to conduct animal research. Over 30,000 researchers and academic staff access the service.
 
In 3 years we’ve carried out hundreds of research sessions with them to understand ways of working and iterate designs following their feedback. 
 
As a result the number of users satisfied with the online service rose from 47% in 2018 to 78% in 2020. 
 
Our Chief Research Officer also previously worked as a senior research assistant at City University so has personal experience of carrying out academic research. ",2+,2nd round,03/02/2021,Uni of Sheffield,2814/MH - Secure Data Hub - User Journey Mapping,Paper,58,We got shortlisted,
129,Experience working in digital programmes to secure improved digital outcomes,"As an existing partner to the Enablers portfolio we’ve been securing excellent digital outcomes since 2015. 
 
The animals in science licensing service we’re delivering has seen improved outcomes in multiple areas, including an increase in user satisfaction from 47% in 2018 to 78% in 2020. It’s now a GDS exemplar for large-scale digital transformations. 
 
During work on another service we identified a need for government to rapidly prototype and build secure, high quality, public-facing services.
 
Consequently we developed the Home Office Forms framework, which has led to a significant reduction in development time and cost for HO services.",2,Lost,10/02/2021,HO,Home Office Enablers Programme - Delivery Partner,MadeTech,62,"We scored 13, shortlisted scored 15-16",Requirement met. Good increase in CSAT figures.
130,Recent (last 2 years) experience of delivering multi-disciplinary digital and technology services (including as a minimum the services identified in ‘working arrangements’) into equally complex organisation(s),"Since 2017, Marvell Consulting has delivered multiple digital and technology services for the Home Office on time and budget. Examples include Animals in Science Licensing, UKVI Complaints and National Referral Mechanism of modern slavery. 
 
Specialisms we’ve supplied include delivery and product management, technical architecture, development, business analysis, research and design.
 
All our specialists are outcomes-focussed. As a result our ASL project has delivered outstanding outcomes and is regarded as an exemplar project in Enablers. The UKVI complaints service we launched worldwide last year has seen user satisfaction increase from 31% in 2019 to 63% for our improved service in 2020. ",2,Lost,10/02/2021,HO,Home Office Enablers Programme - Delivery Partner,MadeTech,62,"We scored 13, shortlisted scored 15-17",Requirements met
131,Recent experience evidencing capability to scale team sizes up and down at short notice,"For the Animals in Science Licensing service, we had to mobilise an experienced team within a week of being awarded the contract.
 
We sourced specialists in:
 
* development
* agile delivery
* business analysis
* user research
* interaction and content design
 
Since then we’ve sourced additional specialists where required and scaled back on other resourcing within 2 weeks, flexing the team from 6 to 11 people depending on the skills needed. 
 
We’ve also concurrently provided senior consultancy to 11 live HO services, rapidly identifying and delivering improvements for maximum value. The feedback we’ve received includes praise for “availability of staff” and ""professionalism and speed”.",2,Lost,10/02/2021,HO,Home Office Enablers Programme - Delivery Partner,MadeTech,62,"We scored 13, shortlisted scored 15-18",Requirement met.  Relatively low levels of staffing.
132,Demonstrate track record of creating an environment allowing mixed teams of Internal and mixed 3rd parties to achieve common outcomes and objectives,"We worked in a mixed team environment of civil servants and suppliers to deliver the Animals in Science Licensing Service. 
 
Working alongside the Home Office-supplied service owner and product manager, we redesigned the service whilst simultaneously working with a third party supplier to ensure a smooth transition from the legacy system. 
 
We created an effective, open working environment from the outset by agreeing ways of working and desired outcomes and co-owning key documents like the risk register.
 
As a result the new service went live on time in August 2019 with no disruption to the regulator’s service.",2,Lost,10/02/2021,HO,Home Office Enablers Programme - Delivery Partner,MadeTech,62,"We scored 13, shortlisted scored 15-19",Requirements met
133,Upskilling: Proven ability in upskilling internal team members during delivery to minimise hand-over and improve internal capability,"For the Animals in Science Licensing Service we’ve been upskilling internal colleagues by:
coaching the service owner and product manager in agile delivery, neither of whom had experience in these roles
holding shared meetings with the team, including fortnightly show and tells
inviting colleagues - including interns and returners - to shadow the development team
inviting colleagues to observe research and participate in debriefs 
sharing free GDS courses to help build internal digital capability
 
We’ve also handed some aspects of service management, such as customer enquiries, over to the Home Office and are exploring where further activities can be transferred.
",2,Lost,10/02/2021,HO,Home Office Enablers Programme - Delivery Partner,MadeTech,62,"We scored 13, shortlisted scored 15-20","Meets the brief in terms of coaching and mentoring, less in the way of planned upskilling."
134,Experience of delivering accessible solutions (to WCAG2.0),"We've delivered four HO services that meet WCAG 2.0 level AA:
Animals in Science Licensing (ASL)
Report Modern Slavery as a First Responder
Biometric Residence Permit Enquiries 
Report Online Terrorist Materials  
 
We meet legal requirements on accessibility by designing with accessible patterns and best practice; testing solutions with users with access needs; and carrying out automated and manual accessibility testing.
 
For the ASL Service we tested prototypes with 16 users with cognitive and motor impairments. We used the findings to prioritise and deliver all required fixes. We’ve also worked with the HO to publish accessibility statements for all our services.",3,Lost,10/02/2021,HO,Home Office Enablers Programme - Delivery Partner,MadeTech,62,"We scored 13, shortlisted scored 15-21","Good example, covers auto testing and user centred approach, referenced accessibility statements"
135,"How you work in a user centered, multidisciplinary team ","For the Animals in Science Licensing service for the Home Office, our multidisciplinary team comprised research, design, development and delivery specialists. 

Our pattern of work over multiple two-week sprints was to:
work with users to understand user needs 
design prototypes to test with users
Iterate prototypes following user feedback

Team communication included:

reporting progress at daily stand-ups
inviting team members to observe research
playing back research findings to the team
prioritising work in planning sessions 
holding retrospectives to reflect on what we could improve

As a result we’ve been able to design and build a user-centred service at pace. ",,Lost,08/03/2021,Essexx CC,User Research to Support Social Care Platforms Programme – CO0062,Cyber-duck,45,,
136,Recent experience planning and carrying out appropriate user research and how your insights informed what happened next,"Over the last 3 years we’ve carried out over 500 research sessions for a complex digital transformation project for the Home Office. This included carrying out interviews and testing solutions with:

licence holders
business support, who advise licence holders
third sector organisations
regulatory staff 

Improvements we’ve introduced include:

clearer guidance to support better licence applications
better communication so licence holders know legally what’s required
re-using information already held so users don’t give the same information twice 

The percentage of users satisfied with the new service has increased from 47% in 2018 to 78% in 2020.",,Lost,09/03/2021,Essexx CC,User Research to Support Social Care Platforms Programme – CO0062,Cyber-duck,45,,
137,Tell us about a time when your user research worked closely with a technical discovery to help inform the implementation of new technologies,"For the discovery for a service to report modern slavery as a first responder, our user researcher carried out research into the Home Office’s technical landscape alongside the technical workstream. The technical workstream also observed user interviews and attended onsite visits to understand ways of working and ensure solutions chosen were user-centred.

We communicated findings to stakeholders through regular research playbacks and discussions. As a result, the project proceeded to the next phase of development with a clear understanding of the technology capability required for delivery: a new digital form on GOV.UK and a cloud-based caseworking system. ",,Lost,10/03/2021,Essexx CC,User Research to Support Social Care Platforms Programme – CO0062,Cyber-duck,45,,
138,"Knowledge and expertise in inclusive design, including accessibility","We ensure our services can be used by everyone, regardless of age, ability and circumstance by:
 
following accessibility design principles and best practices
testing solutions with users with access needs and low digital skills
carrying out automated and manual accessibility testing
ensuring our services work with relevant browsers and assistive technologies
 
We've delivered four HO services that meet WCAG 2.0 level AA. For the Animals in Science Licensing service, we tested prototypes with 16 users with cognitive and motor impairments as well as carrying out accessibility audits. We implemented prioritised findings and delivered an assisted digital support model. ",,Lost,11/03/2021,Essexx CC,User Research to Support Social Care Platforms Programme – CO0062,Cyber-duck,45,,
139,Able to tell us how you build and maintain positive relationships with a range of internal stakeholders across an organisation,"The Animals in Science Licensing we’re delivering has stakeholders including:

operational staff
governance board/SMT overseeing the project
colleagues upholding digital service standards  
leading figures in the biosciences industry

We’ve built strong relationships with these groups by:

carrying out regular research and ideas workshops with stakeholders
emailing round weekly reports detailing what the digital team has been doing
presenting research findings, prototypes and current thinking at open showcases
attending stakeholder events to nurture and deepen relationships

The service was recently presented to the Home Office’s Chief Digital, Data and Technology Officer as an example of best practice.",,Lost,12/03/2021,Essexx CC,User Research to Support Social Care Platforms Programme – CO0062,Cyber-duck,45,,
142,"Expert understanding of iterative, user-centred design and delivery and how this will be applied to deliver services, working across multiple product lines, operating within an evolutionary architecture approach.","We’ve delivered multiple government services using iterative, user-centred approaches. For a digital service licensing the use of animals in science, we conducted over 500 user research sessions in 3 years as we built 6 distinct product lines. 

We started with the most complicated product which involved integration with back-end architecture. We designed, tested and iterated prototypes before releasing live software. We then added further products, with prototypes typically going through 3 iterations and new software released every sprint. 
 
The result was reduced dependency between products, existing systems replaced on time and user satisfaction up from 47% to 78%.",1,Lost,12/03/2021,HO,National Law Enforcement Data Programme (NLEDP) 168 - Product Team 1,FIMATIX,43,"We scored 16, shortlist score 21",
143,"Extensive practical experience of working within a product centric team focused on developing a blue-print approach for future delivery, driving quality throughout.","Our product centric team has designed and built 15+ services for government.
 
The Animals in Science licensing service is a complex transformation project which involved digitising large, complicated workflows owned by different stakeholders.
 
We treated each of these workflows as distinct but interrelated products. For the first product we established a user-centred approach and agile ways of working. Following successful delivery of the first workflow we reapplied this process to streamline the following workflows. 
 
The legacy system met just 3 of the 18 Service Standard Points. In 2019 the service passed its Public Beta assessment, meeting all 18 points.",2,Lost,12/03/2021,HO,National Law Enforcement Data Programme (NLEDP) 168 - Product Team 1,FIMATIX,43,"We scored 16, shortlist score 21",
144,"A best-in-class product-centric approach, demonstrating successful delivery, deployment and adoption focused on end user value and experience","We’ve designed and built 15 new or improved government products that are live and delivering real value to end users. For each one we:
engaged key stakeholder groups
carried out user research and prototype testing 
made decisions based on evidence
designed solutions that work end-to-end 
made solutions accessible 
focussed on deploying and iterating software quickly
set desired outcomes and measured progress
A complaints service we launched worldwide last year increased user satisfaction from 31% to 63%. Another service for a UK regulator has reduced time spent on processing licence applications by 50%.",2,Lost,12/03/2021,HO,National Law Enforcement Data Programme (NLEDP) 168 - Product Team 1,FIMATIX,43,"We scored 16, shortlist score 21",
145,"Ability to deliver products/services to government service standards within the context of critical national infrastructure, or equivalent.","For the animals in science licensing service, we were contracted to replace a system that met 3 out of 18 GDS Service Standard points. The new service we delivered was on time and budget and met all 14 points of the updated Service Standard. It's now in public beta and has been chosen as a GDS exemplar.
 
The service has been critical during the pandemic as it has met the need to issue COVID-19 licenses for research into vaccines quickly and accurately.",2,Lost,12/03/2021,HO,National Law Enforcement Data Programme (NLEDP) 168 - Product Team 1,FIMATIX,43,"We scored 16, shortlist score 21",
146,Evidence experience of strong and rapid continuous delivery practices approach to service continuity.,"As part of all our government services we have set up continuous delivery practices during the initial project phase. Examples of this include:
Continuous delivery pipelines to numerous environments
Automated testing pipelines
Automated security alerting and patching
Service uptime/response monitoring
We have also provided live service support for 10 services across the Home Office providing on average 99.8% service uptime. Our team was able to rapidly resolve high priority problems reported by users across all services on the same or following day with no impact to service delivery continuity.",2,Lost,12/03/2021,HO,National Law Enforcement Data Programme (NLEDP) 168 - Product Team 1,FIMATIX,43,"We scored 16, shortlist score 21",
